collegeId,collegeName,type,accreditation,rankingTier,state,district,region,address,website,rating,latitude,longitude,searchKeywords
UGC-1058-266,Spicer Adventist University,Private,UGC 2(f),Unranked,Maharashtra,,India,"Aundh Road,Ganeshkhind Post,Pune 411007",,4.2,0,0,University|Degree|Higher Education
UGC-1059-262,Sports University of Haryana,State University,UGC 2(f),Unranked,Haryana,,India,"Near 20th Mile Stone (Biswa-Mile), NH-44, Rai, Sonipat 131029",,4.7,0,0,University|Degree|Higher Education
UGC-1060-999,Sree Narayanguru Open University,State University,UGC 2(f),Unranked,Kerala,,India,Kollam 691601,,4.8,0,0,University|Degree|Higher Education
UGC-1061-814,Sreenidhi University,Private,UGC 2(f),Unranked,Telangana,,India,"Yamnampet (Village), Ghatkesar (Mandal), Medchal-Malkajgiri District, Hyderabad 501301",,4.6,0,0,University|Degree|Higher Education
UGC-1062-848,Sri Aurobindo University,Private,UGC 2(f),Unranked,Madhya Pradesh,,India,"SAIMS Campus,Indore-Ujjain State Highway,Near MR-10 Crossing, Sanwer Road, Indore 453555",,4.1,0,0,University|Degree|Higher Education
UGC-1063-944,"Sri Balaji University, Pune",Private,UGC 2(f),Unranked,Maharashtra,,India,"SNo.55/2-7,Tathawade, off Mumbai-Banglore BypassPune 411033",,4.6,0,0,University|Degree|Higher Education
UGC-1064-18,Sri Balaji Vidyapeeth,Deemed,UGC Section-III & 12(B),Unranked,Puducherry,,India,"SBV Campus, Pillaiyarkuppam, Pondicherry 607402",,4.7,0,0,University|Degree|Higher Education
UGC-1065-101,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Deemed,UGC Section-III & 12(B),Unranked,Tamil Nadu,,India,"Sri Jayendra Saraswathi Street, Enathur, Kanchipuram 631561",,4.3,0,0,University|Degree|Higher Education
UGC-1066-445,Sri Dev Suman Uttarakhand Vishwavidyalaya,State University,UGC 2(f),Unranked,Uttarakhand,,India,"Badshahithaul, Tehri Garhwal 249 199",,3.8,0,0,University|Degree|Higher Education
UGC-1067-189,Sri Devraj Urs Academy of Higher Education and Research,Deemed,UGC Section-III,Unranked,Karnataka,,India,"Post Box No.62, Tamaka, Kolar 563101",,4.5,0,0,University|Degree|Higher Education
UGC-1068-380,Sri Guru Granth Sahib World University,Private,UGC 2(f),Unranked,Punjab,,India,Fatehgarh Sahib 140 406,,4.2,0,0,University|Degree|Higher Education
UGC-1069-795,Sri Guru Ram Das University of Health Sciences,Private,UGC 2(f),Unranked,Punjab,,India,"Sri Guru Ram Das University of Health Sciences, Mehta Road, VallahSri Amritsar 143501",,3.9,0,0,University|Degree|Higher Education
UGC-1070-519,Sri Guru Teg Bahadur State University of Law,State University,UGC 2(f),Unranked,Punjab,,India,"Sarhali Rd, Patti, District, Tarn Taran 143416",,4.7,0,0,University|Degree|Higher Education
UGC-1071-463,Sri Jagadhguru Murugarajendra University,Private,UGC 2(f),Unranked,Karnataka,,India,"SJM Camus,Chitradurga 577502",,4.5,0,0,University|Degree|Higher Education
UGC-1072-168,Sri Karan Narendra Agriculture University,State University,UGC 2(f),Unranked,Rajasthan,,India,"Jobner, District Jaipur 303329",,3.9,0,0,University|Degree|Higher Education
UGC-1073-874,Sri Konda Laxman Telangana State Horticultural University,State University,UGC 2(f),Unranked,Telangana,,India,"Mulugu, Siddipet district, Hyderabad 502279",,4.3,0,0,University|Degree|Higher Education
UGC-1074-415,Sri krishnadevaraya University,State University,UGC 2(f) & 12(B),Unranked,Andhra Pradesh,,India,"Sri Venkateswarpuram,Anantapuram 515003",,4.2,0,0,University|Degree|Higher Education
UGC-1075-129,Sri Padmavati Mahila Vishwavidyalayam,State University,UGC 2(f) & 12(B),Unranked,Andhra Pradesh,,India,"Padmavathi Nagar, Tirupati,  Chittoor (Dist) 517502",,4.2,0,0,University|Degree|Higher Education
UGC-1076-427,Sri Ramachandra Institute of Higher Education and Research,Deemed,UGC Section-III & 12(B),Unranked,Tamil Nadu,,India,"No.1 Ramachandra Nagar, Porur, Chennai 600116",,4.2,0,0,University|Degree|Higher Education
UGC-1077-888,Sri Sai University,Private,UGC 2(f),Unranked,Himachal Pradesh,,India,"Sungal, P.O.: TaragarhPalampur 176081",,4.3,0,0,University|Degree|Higher Education
UGC-1078-200,Sri Sathya Sai Institute of Higher Learning,Deemed,UGC Section-III & 12(B),Unranked,Andhra Pradesh,,India,"Prasanthi Nilayam, Anantapuramu 515134",,3.9,0,0,University|Degree|Higher Education
UGC-1079-571,Sri Sathya Sai University for Human Excellence,Private,UGC 2(f),Unranked,Karnataka,,India,"Sri Sathya Sai Vidyaniketanam Campus,Navanihala, Post-Okali,Taluk-Kamalpur, Dist- Kalburagi 585313",,3.8,0,0,University|Degree|Higher Education
UGC-1080-453,Sri Satya Sai University of Technology & Medical Sciences,Private,UGC 2(f) & 12(B),Unranked,Madhya Pradesh,,India,"Bhopal-Indore Road, Opposite Pachama Oil Fed Plant, Pachama Sehore 466001",,4.3,0,0,University|Degree|Higher Education
UGC-1081-222,Sri Siddhartha Academy of Higher Education,Deemed,UGC Section-III & 12(B),Unranked,Karnataka,,India,"Agalakote, B.H. Road, Tumkur 572107",,4.1,0,0,University|Degree|Higher Education
UGC-1082-32,Sri Sri Aniruddhdeva Sports University,State University,UGC 2(f),Unranked,Assam,,India,"DICC BUILDING, 2ND FLOOR, ChabuaNEAR DISTRICT LIBRARY, DISTT. DIBRUGARH, Dibrugarh 786003",,4.7,0,0,University|Degree|Higher Education
UGC-1083-431,Sri Sri University,Private,UGC 2(f) & 12(B),Unranked,Odisha,,India,"Ward No – 3, Sandhapur, Godi Sahi, Cuttack Vidhayadharpur, Odisha 754006Godi Sahi, Ward No. 3 Cuttack Odisha. 754006",,4.5,0,0,University|Degree|Higher Education
UGC-1084-803,Sri Venkateshwara University,Private,UGC 2(f),Unranked,Sikkim,,India,"Village & PO Machong, District Pakyong, East Sikkim 737131",,4.7,0,0,University|Degree|Higher Education
UGC-1085-193,Sri Venkateswara Institute of Medical Sciences,State University,UGC 2(f) & 12(B),Unranked,Andhra Pradesh,,India,"Alipiri Road, Tirupati, Chittoor Dist 517507",,4.3,0,0,University|Degree|Higher Education
UGC-1086-12,Sri Venkateswara University,State University,UGC 2(f) & 12(B),Unranked,Andhra Pradesh,,India,Tirupati 517502,,3.8,0,0,University|Degree|Higher Education
UGC-1087-428,Sri Venkateswara Vedic University,State University,UGC 2(f),Unranked,Andhra Pradesh,,India,"Alipiri-Chandragiri Bypass Road, Tirupati, Chittoor Dist 517502",,4.5,0,0,University|Degree|Higher Education
UGC-1088-543,Sri Venkateswara Veterinary University,State University,UGC 2(f) & 12(B),Unranked,Andhra Pradesh,,India,"Dr. YSR Bhavan, Tirupati 517502",,4.3,0,0,University|Degree|Higher Education
UGC-1089-759,Sri Venkateswaraa University,Private,UGC 2(f),Unranked,Tamil Nadu,,India,"Ettayapuram, Thoothukudi District, 628902",,4.4,0,0,University|Degree|Higher Education
UGC-1090-876,Srimanta Sankaradeva University of Health Sciences,State University,UGC 2(f),Unranked,Assam,,India,"Narakasur Hilltop, BhangagarhGuwahati 781032",,3.9,0,0,University|Degree|Higher Education
UGC-1091-347,Srinath University,Private,UGC 2(f),Unranked,Jharkhand,,India,"Dindli, AdityapurJamshedpur 831013",,4.7,0,0,University|Degree|Higher Education
UGC-1092-744,Srinivas University,Private,UGC 2(f),Unranked,Karnataka,,India,"Srinivas Nagar, Mukka, MangaloreCampus, Srinivas Nagar, Mukka, SurathkalMangalore 574146",,4.7,0,0,University|Degree|Higher Education
UGC-1093-392,SRM University,Private,UGC 2(f),Unranked,Andhra Pradesh,,India,"Neerukonda Post, Mangalagiri Mandal, Gantur District 522240",,4.2,0,0,University|Degree|Higher Education
UGC-1094-372,SRM University,Private,UGC 2(f) & 12(B) Category-II,Unranked,Haryana,,India,"Plot No - 39, Rajiv Gandhi Education City, Post office - P.SRai,Sonepat 131029",,4.5,0,0,University|Degree|Higher Education
UGC-1095-933,St. Aloysius,Deemed,UGC Section-III,Unranked,Karnataka,,India,"St Aloysius College Road, Kodialbail, PB 720, Mangalore 575003",,4.7,0,0,University|Degree|Higher Education
UGC-1096-46,St. Joseph University,Private,UGC 2(f),Unranked,Nagaland,,India,"Virgin Town, Khekiho-Zhimomi RoadIkishe Model Village,Ps- Diphupar, Dimapur 797115",,3.8,0,0,University|Degree|Higher Education
UGC-1097-555,St. Joseph University,Private,UGC 2(f),Unranked,Tamil Nadu,,India,"Keezhathanur Village, Tindivanam Taluk, Villupuram 604305",,4.6,0,0,University|Degree|Higher Education
UGC-1098-781,St. Joseph's University,Private,UGC 2(f),Unranked,Karnataka,,India,"P O Box 27094, #36, Lalbagh RoadBengaluru 560027",,4.7,0,0,University|Degree|Higher Education
UGC-1099-534,St. Peter’s Institute of Higher Education and Research,Deemed,UGC Section-III & 12(B),Unranked,Tamil Nadu,,India,"Tonakela Camp Road, Avadi, Chennai 600054",,4,0,0,University|Degree|Higher Education
UGC-1100-121,"St. Xavier's University, Kolkata",Private,UGC 2(f),Unranked,West Bengal,,India,"Action Area III-B, Newtown, Kolkata, West BengalAction Area IIIB,P.S. New Town, Kolkata 700160",,4,0,0,University|Degree|Higher Education
UGC-1101-280,Starex University,Private,UGC 2(f),Unranked,Haryana,,India,"NH-8, Vill., Binola, P.O. Bhorakalan, Gurugram 122413",,4.7,0,0,University|Degree|Higher Education
UGC-1102-532,Sumandeep Vidyapeeth,Deemed,UGC Section-III & 12(B),Unranked,Gujarat,,India,"Post Piparia, Takula Waghodiya, Dist. Vadodara 391760",,4,0,0,University|Degree|Higher Education
UGC-1103-594,Sunrise University,Private,UGC 2(f),Unranked,Rajasthan,,India,"Bagad Rajput Tech. Ramgarh, Alwar Rajasthan",,4.1,0,0,University|Degree|Higher Education
UGC-1104-377,Surajmal University,Private,UGC 2(f),Unranked,Uttarakhand,,India,"Sirauli, Kichha,Udham Singh Nagar 263148",,4.7,0,0,University|Degree|Higher Education
UGC-1105-184,Surendranagar University,Private,UGC 2(f),Unranked,Gujarat,,India,"Shree Pandit Nathulalji Vyas Technical CampusSurendranagar- Ahmedabad HighwayNear Kothariya Village,At Wadhwan 363030",,4.3,0,0,University|Degree|Higher Education
UGC-1106-538,Suresh Gyan Vihar University,Private,UGC 2(f),Unranked,Rajasthan,,India,"MAHAL, JAGATPURA, JAIPURJaipur 302017",,4.1,0,0,University|Degree|Higher Education
